exp,decaimento,aceitacao,temp_minima,estabilidade_termica,melhor_custo,gap_para_fb,exc_apos_melhor,tempo_exec_s
1,0.9149,0.94,0.00031,1,268,-63,1534,0.01449
2,0.8103,0.73,0.0251,7,258,-73,3076,0.02289
3,0.8835,0.62,0.02109,2,262,-69,677,0.0123
4,0.8001,0.81,0.04477,8,256,-75,1785,0.02427
5,0.7383,0.86,0.00395,1,272,-59,248,0.00417
6,0.8422,0.73,0.01003,3,254,-77,1456,0.01507
7,0.8573,0.52,0.00102,2,253,-78,673,0.01171
8,0.8575,0.6,0.0001,8,260,-71,10091,0.05999
9,0.9918,0.53,0.00038,3,247,-84,59160,0.35572
10,0.7447,0.91,0.09328,6,258,-73,936,0.01452
11,0.9336,0.75,0.00063,8,259,-72,21942,0.1183
12,0.9808,0.7,0.03476,8,260,-71,33411,0.25401
13,0.9774,0.77,0.00097,7,249,-82,44834,0.29571
14,0.9195,0.77,0.05844,1,259,-72,473,0.00753
15,0.8317,0.55,0.00011,5,260,-71,5069,0.03059
16,0.9428,0.93,0.0077,0,295,-36,6,0.00303
17,0.9794,0.59,0.00046,2,253,-78,15451,0.09593
18,0.7674,0.58,0.00133,7,257,-74,3752,0.02543
19,0.7494,0.93,0.00039,4,261,-70,2298,0.01754
20,0.7527,0.91,0.00097,3,271,-60,459,0.01255
21,0.7554,0.82,0.09343,7,265,-66,714,0.01621
22,0.7721,0.65,0.06441,3,269,-62,579,0.00817
23,0.8618,0.86,0.00122,3,257,-74,2925,0.02161
24,0.9175,0.91,0.02055,7,253,-78,5876,0.06442
25,0.8318,0.77,0.00945,6,255,-76,3534,0.02663
26,0.9865,0.87,0.00265,8,255,-76,89032,0.54369
27,0.7371,0.53,0.09453,4,269,-62,708,0.00785
28,0.9781,0.89,0.00032,8,256,-75,71819,0.41634
29,0.9697,0.63,0.00841,5,252,-79,18912,0.11843
30,0.8554,0.55,0.00016,3,257,-74,1681,0.02203
31,0.9871,0.82,0.00036,5,249,-82,66751,0.46238
32,0.7926,0.65,0.01344,3,265,-66,903,0.01025
33,0.9888,0.53,0.00212,5,256,-75,59518,0.36295
34,0.9053,0.77,0.03151,8,257,-74,6276,0.05298
35,0.783,0.91,0.00093,3,258,-73,643,0.01391
36,0.9473,0.82,0.00051,2,262,-69,5664,0.0406
37,0.7604,0.84,0.00641,5,269,-62,1811,0.01665
38,0.719,0.89,0.00015,0,314,-17,19,0.00104
39,0.9316,0.9,0.00016,3,260,-71,8204,0.0532
40,0.8014,0.52,0.08116,6,269,-62,2047,0.01444
41,0.9933,0.88,0.00205,3,256,-75,55063,0.44347
42,0.955,0.62,0.00766,3,248,-83,6838,0.049
43,0.9382,0.74,0.06809,0,300,-31,10,0.001
44,0.7813,0.75,0.00067,8,253,-78,3021,0.03453
45,0.9873,0.76,0.0002,6,247,-84,95437,0.52392
46,0.9651,0.89,0.00086,4,257,-74,17234,0.11995
47,0.8401,0.61,0.06773,8,263,-68,1875,0.02573
48,0.9723,0.8,0.01573,5,257,-74,17349,0.12886
49,0.7887,0.82,0.00127,1,267,-64,214,0.0044
50,0.897,0.78,0.05367,2,262,-69,1078,0.01284
