parametro_testado,valor_parametro,repeticao,aceitacao,decaimento,temp_minima,estabilidade_termica,melhor_custo,tempo_execucao_seg
aceitacao,0.55,1,0.55,0.95,0.001,5,553,0.3261
aceitacao,0.55,2,0.55,0.95,0.001,5,547,0.3634
aceitacao,0.55,3,0.55,0.95,0.001,5,536,0.3205
aceitacao,0.58,1,0.58,0.95,0.001,5,548,0.3196
aceitacao,0.58,2,0.58,0.95,0.001,5,542,0.3234
aceitacao,0.58,3,0.58,0.95,0.001,5,557,0.3218
aceitacao,0.61,1,0.61,0.95,0.001,5,548,0.3279
aceitacao,0.61,2,0.61,0.95,0.001,5,546,0.3247
aceitacao,0.61,3,0.61,0.95,0.001,5,550,0.3331
aceitacao,0.64,1,0.64,0.95,0.001,5,562,0.3272
aceitacao,0.64,2,0.64,0.95,0.001,5,552,0.3309
aceitacao,0.64,3,0.64,0.95,0.001,5,558,0.3294
aceitacao,0.67,1,0.67,0.95,0.001,5,555,0.3346
aceitacao,0.67,2,0.67,0.95,0.001,5,549,0.3365
aceitacao,0.67,3,0.67,0.95,0.001,5,554,0.3323
aceitacao,0.7,1,0.7,0.95,0.001,5,560,0.3416
aceitacao,0.7,2,0.7,0.95,0.001,5,538,0.3381
aceitacao,0.7,3,0.7,0.95,0.001,5,552,0.3366
aceitacao,0.73,1,0.73,0.95,0.001,5,557,0.3426
aceitacao,0.73,2,0.73,0.95,0.001,5,547,0.3421
aceitacao,0.73,3,0.73,0.95,0.001,5,550,0.3423
aceitacao,0.76,1,0.76,0.95,0.001,5,554,0.3467
aceitacao,0.76,2,0.76,0.95,0.001,5,554,0.3427
aceitacao,0.76,3,0.76,0.95,0.001,5,568,0.3475
aceitacao,0.79,1,0.79,0.95,0.001,5,551,0.3521
aceitacao,0.79,2,0.79,0.95,0.001,5,548,0.3816
aceitacao,0.79,3,0.79,0.95,0.001,5,549,0.3516
aceitacao,0.82,1,0.82,0.95,0.001,5,550,0.3755
aceitacao,0.82,2,0.82,0.95,0.001,5,551,0.3591
aceitacao,0.82,3,0.82,0.95,0.001,5,546,0.3634
aceitacao,0.85,1,0.85,0.95,0.001,5,547,0.3603
aceitacao,0.85,2,0.85,0.95,0.001,5,548,0.3661
aceitacao,0.85,3,0.85,0.95,0.001,5,544,0.4131
aceitacao,0.88,1,0.88,0.95,0.001,5,558,0.3737
aceitacao,0.88,2,0.88,0.95,0.001,5,563,0.3906
aceitacao,0.88,3,0.88,0.95,0.001,5,549,0.3704
aceitacao,0.91,1,0.91,0.95,0.001,5,544,0.3806
aceitacao,0.91,2,0.91,0.95,0.001,5,543,0.3792
aceitacao,0.91,3,0.91,0.95,0.001,5,550,0.3771
aceitacao,0.94,1,0.94,0.95,0.001,5,556,0.3926
aceitacao,0.94,2,0.94,0.95,0.001,5,541,0.3945
aceitacao,0.94,3,0.94,0.95,0.001,5,546,0.3954
aceitacao,0.97,1,0.97,0.95,0.001,5,552,0.4164
aceitacao,0.97,2,0.97,0.95,0.001,5,543,0.4135
aceitacao,0.97,3,0.97,0.95,0.001,5,563,0.4226
decaimento,0.85,1,0.85,0.85,0.001,5,555,0.1174
decaimento,0.85,2,0.85,0.85,0.001,5,552,0.1162
decaimento,0.85,3,0.85,0.85,0.001,5,555,0.1178
decaimento,0.86,1,0.85,0.86,0.001,5,543,0.1256
decaimento,0.86,2,0.85,0.86,0.001,5,551,0.1288
decaimento,0.86,3,0.85,0.86,0.001,5,554,0.128
decaimento,0.87,1,0.85,0.87,0.001,5,556,0.1433
decaimento,0.87,2,0.85,0.87,0.001,5,561,0.1389
decaimento,0.87,3,0.85,0.87,0.001,5,565,0.1431
decaimento,0.88,1,0.85,0.88,0.001,5,545,0.1482
decaimento,0.88,2,0.85,0.88,0.001,5,551,0.149
decaimento,0.88,3,0.85,0.88,0.001,5,558,0.1485
decaimento,0.89,1,0.85,0.89,0.001,5,559,0.1618
decaimento,0.89,2,0.85,0.89,0.001,5,544,0.164
decaimento,0.89,3,0.85,0.89,0.001,5,563,0.1612
decaimento,0.9,1,0.85,0.9,0.001,5,558,0.1817
decaimento,0.9,2,0.85,0.9,0.001,5,552,0.1941
decaimento,0.9,3,0.85,0.9,0.001,5,547,0.1786
decaimento,0.91,1,0.85,0.91,0.001,5,546,0.2075
decaimento,0.91,2,0.85,0.91,0.001,5,561,0.2023
decaimento,0.91,3,0.85,0.91,0.001,5,560,0.2015
decaimento,0.92,1,0.85,0.92,0.001,5,558,0.2239
decaimento,0.92,2,0.85,0.92,0.001,5,553,0.2277
decaimento,0.92,3,0.85,0.92,0.001,5,545,0.2233
decaimento,0.93,1,0.85,0.93,0.001,5,552,0.2586
decaimento,0.93,2,0.85,0.93,0.001,5,543,0.2602
decaimento,0.93,3,0.85,0.93,0.001,5,554,0.2592
decaimento,0.94,1,0.85,0.94,0.001,5,547,0.3002
decaimento,0.94,2,0.85,0.94,0.001,5,547,0.3083
decaimento,0.94,3,0.85,0.94,0.001,5,553,0.3163
decaimento,0.95,1,0.85,0.95,0.001,5,555,0.3805
decaimento,0.95,2,0.85,0.95,0.001,5,546,0.3844
decaimento,0.95,3,0.85,0.95,0.001,5,541,0.3602
decaimento,0.96,1,0.85,0.96,0.001,5,553,0.4533
decaimento,0.96,2,0.85,0.96,0.001,5,558,0.455
decaimento,0.96,3,0.85,0.96,0.001,5,547,0.4535
decaimento,0.97,1,0.85,0.97,0.001,5,550,0.6061
decaimento,0.97,2,0.85,0.97,0.001,5,531,0.6065
decaimento,0.97,3,0.85,0.97,0.001,5,544,0.6032
decaimento,0.98,1,0.85,0.98,0.001,5,530,0.9153
decaimento,0.98,2,0.85,0.98,0.001,5,538,0.9157
decaimento,0.98,3,0.85,0.98,0.001,5,555,0.9098
decaimento,0.99,1,0.85,0.99,0.001,5,542,1.8746
decaimento,0.99,2,0.85,0.99,0.001,5,547,1.8206
decaimento,0.99,3,0.85,0.99,0.001,5,539,1.8263
temp_minima,0.0001,1,0.85,0.95,0.0001,5,550,0.439
temp_minima,0.0001,2,0.85,0.95,0.0001,5,560,0.4354
temp_minima,0.0001,3,0.85,0.95,0.0001,5,563,0.4377
temp_minima,0.0002,1,0.85,0.95,0.0002,5,549,0.4163
temp_minima,0.0002,2,0.85,0.95,0.0002,5,558,0.4247
temp_minima,0.0002,3,0.85,0.95,0.0002,5,538,0.4191
temp_minima,0.0004,1,0.85,0.95,0.0004,5,550,0.3943
temp_minima,0.0004,2,0.85,0.95,0.0004,5,547,0.3941
temp_minima,0.0004,3,0.85,0.95,0.0004,5,565,0.4038
temp_minima,0.0008,1,0.85,0.95,0.0008,5,559,0.3681
temp_minima,0.0008,2,0.85,0.95,0.0008,5,556,0.3695
temp_minima,0.0008,3,0.85,0.95,0.0008,5,554,0.3719
temp_minima,0.0016,1,0.85,0.95,0.0016,5,549,0.3474
temp_minima,0.0016,2,0.85,0.95,0.0016,5,549,0.3503
temp_minima,0.0016,3,0.85,0.95,0.0016,5,554,0.3489
temp_minima,0.0032,1,0.85,0.95,0.0032,5,552,0.3281
temp_minima,0.0032,2,0.85,0.95,0.0032,5,555,0.3236
temp_minima,0.0032,3,0.85,0.95,0.0032,5,539,0.324
temp_minima,0.0064,1,0.85,0.95,0.0064,5,560,0.3051
temp_minima,0.0064,2,0.85,0.95,0.0064,5,553,0.3075
temp_minima,0.0064,3,0.85,0.95,0.0064,5,542,0.3389
temp_minima,0.0128,1,0.85,0.95,0.0128,5,550,0.3093
temp_minima,0.0128,2,0.85,0.95,0.0128,5,551,0.2962
temp_minima,0.0128,3,0.85,0.95,0.0128,5,544,0.2818
temp_minima,0.0256,1,0.85,0.95,0.0256,5,540,0.2611
temp_minima,0.0256,2,0.85,0.95,0.0256,5,544,0.2578
