parametro_testado,valor_parametro,repeticao,aceitacao,decaimento,temp_minima,melhor_custo,tempo_execucao_seg
aceitacao,0.55,1,0.55,0.95,0.001,871,0.6986
aceitacao,0.55,2,0.55,0.95,0.001,874,0.6953
aceitacao,0.55,3,0.55,0.95,0.001,890,0.6926
aceitacao,0.55,4,0.55,0.95,0.001,908,0.7002
aceitacao,0.55,5,0.55,0.95,0.001,887,0.693
aceitacao,0.58,1,0.58,0.95,0.001,882,0.696
aceitacao,0.58,2,0.58,0.95,0.001,879,0.7049
aceitacao,0.58,3,0.58,0.95,0.001,878,0.7027
aceitacao,0.58,4,0.58,0.95,0.001,890,0.7017
aceitacao,0.58,5,0.58,0.95,0.001,890,0.6992
aceitacao,0.61,1,0.61,0.95,0.001,869,0.7278
aceitacao,0.61,2,0.61,0.95,0.001,881,0.7594
aceitacao,0.61,3,0.61,0.95,0.001,883,0.7211
aceitacao,0.61,4,0.61,0.95,0.001,872,0.7042
aceitacao,0.61,5,0.61,0.95,0.001,893,0.7051
aceitacao,0.64,1,0.64,0.95,0.001,884,0.7236
aceitacao,0.64,2,0.64,0.95,0.001,890,0.7201
aceitacao,0.64,3,0.64,0.95,0.001,881,0.7139
aceitacao,0.64,4,0.64,0.95,0.001,886,0.7243
aceitacao,0.64,5,0.64,0.95,0.001,889,0.7106
aceitacao,0.67,1,0.67,0.95,0.001,874,0.7149
aceitacao,0.67,2,0.67,0.95,0.001,886,0.7245
aceitacao,0.67,3,0.67,0.95,0.001,867,0.7823
aceitacao,0.67,4,0.67,0.95,0.001,906,0.7242
aceitacao,0.67,5,0.67,0.95,0.001,886,0.7292
aceitacao,0.7,1,0.7,0.95,0.001,911,0.725
aceitacao,0.7,2,0.7,0.95,0.001,869,0.7328
aceitacao,0.7,3,0.7,0.95,0.001,863,0.7446
aceitacao,0.7,4,0.7,0.95,0.001,879,0.7304
aceitacao,0.7,5,0.7,0.95,0.001,901,0.7292
aceitacao,0.73,1,0.73,0.95,0.001,894,0.7344
aceitacao,0.73,2,0.73,0.95,0.001,884,0.7398
aceitacao,0.73,3,0.73,0.95,0.001,877,0.7467
